# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=2.08685e-07 to 53.857 h/Mpc,
# number of wavenumbers equal to 6836
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_m                   10:d_tot                 11:phi                   12:psi                
       2.363823452728e-05      -6.742259678948e-03      -5.070308511585e-03      -5.070309151606e-03      -6.741842560935e-03      -5.077539321675e-03      -5.070486012330e-03      -5.066761373950e-03      -5.070484425092e-03      -5.070659282023e-03       4.715013248104e-01       4.713937890769e-01 
       2.429105338459e-05      -7.118730379508e-03      -5.354227823971e-03      -5.354228537658e-03      -7.118265293887e-03      -5.361801817270e-03      -5.354411225632e-03      -5.350481861317e-03      -5.354413559483e-03      -5.354597981689e-03       4.715010989321e-01       4.713935861949e-01 
       2.494403699740e-05      -7.505436833868e-03      -5.645955721154e-03      -5.645956514709e-03      -7.504919749036e-03      -5.653875520468e-03      -5.646144739911e-03      -5.642005443368e-03      -5.646151545652e-03      -5.646345771264e-03       4.715008668503e-01       4.713933777381e-01 
       2.559718987560e-05      -7.902379956343e-03      -5.945500137522e-03      -5.945501017490e-03      -7.901806619449e-03      -5.953767820391e-03      -5.945694453382e-03      -5.941340047155e-03      -5.945706318006e-03      -5.945910583395e-03       4.715006285595e-01       4.713931637012e-01 
       2.625051653293e-05      -8.309560681144e-03      -6.252869224150e-03      -6.252870197427e-03      -8.308926611987e-03      -6.261486307507e-03      -6.253068479928e-03      -6.248493816211e-03      -6.253086027635e-03      -6.253300567366e-03       4.715003840541e-01       4.713929440789e-01 
       2.690402148702e-05      -8.726979961862e-03      -6.568071349211e-03      -6.568072423054e-03      -8.726280446771e-03      -6.577038773971e-03      -6.568275149508e-03      -6.563475110969e-03      -6.568299042734e-03      -6.568524089514e-03       4.715001333281e-01       4.713927188655e-01 
       2.755770925958e-05      -9.154638770933e-03      -6.891115098411e-03      -6.891116280448e-03      -9.153868856624e-03      -6.900433213973e-03      -6.891323008579e-03      -6.886292509187e-03      -6.891353949024e-03      -6.891589733652e-03       4.714998763754e-01       4.713924880555e-01 
       2.821158437645e-05      -9.592538099099e-03      -7.222009275419e-03      -7.222010573658e-03      -9.591692586513e-03      -7.231677824102e-03      -7.222220820527e-03      -7.216954806388e-03      -7.222259550195e-03      -7.222506301515e-03       4.714996131898e-01       4.713922516429e-01 
       2.886565136772e-05      -1.004067895485e-02      -7.560762902321e-03      -7.560764325162e-03      -1.003975239297e-02      -7.570781003713e-03      -7.560977566117e-03      -7.555471016303e-03      -7.561024868351e-03      -7.561282813201e-03       4.714993437651e-01       4.713920096219e-01 
       2.951991476782e-05      -1.049906236383e-02      -7.907385220082e-03      -7.907386776324e-03      -1.049804904347e-02      -7.917751355309e-03      -7.907602443942e-03      -7.901850371340e-03      -7.907659144475e-03      -7.907928507636e-03       4.714990680947e-01       4.713917619861e-01 
       3.017437911566e-05      -1.096768936829e-02      -8.261885689017e-03      -8.261887387869e-03      -1.096658331588e-02      -8.272597684925e-03      -8.262104870895e-03      -8.256102323048e-03      -8.262171838902e-03      -8.262452843047e-03       4.714987861719e-01       4.713915087295e-01 
       3.082904895468e-05      -1.144656102645e-02      -8.624273989274e-03      -8.624275840364e-03      -1.144535599776e-02      -8.635329002530e-03      -8.624494482642e-03      -8.618236542607e-03      -8.624572631798e-03      -8.624865497444e-03       4.714984979900e-01       4.713912498456e-01 
       3.148392883302e-05      -1.193567841189e-02      -8.994560021329e-03      -8.994562034718e-03      -1.193436788578e-02      -9.005954522429e-03      -8.994781134115e-03      -8.988262921317e-03      -8.994871423659e-03      -8.995176369114e-03       4.714982035420e-01       4.713909853278e-01 
       3.213902330356e-05      -1.243504261292e-02      -9.372753906498e-03      -9.372756092683e-03      -1.243361978503e-02      -9.384483663684e-03      -9.372974900012e-03      -9.366191571107e-03      -9.373078335820e-03      -9.373395577131e-03       4.714979028207e-01       4.713907151694e-01 
       3.279433692408e-05      -1.294465473195e-02      -9.758865987447e-03      -9.758868357378e-03      -1.294311250836e-02      -9.770926050536e-03      -9.759086075308e-03      -9.752032825053e-03      -9.759203710966e-03      -9.759533461871e-03       4.714975958189e-01       4.713904393636e-01 
       3.344987425733e-05      -1.346451588477e-02      -1.015290682873e-02      -1.015290939382e-02      -1.346284687570e-02      -1.016529151284e-02      -1.015312517578e-02      -1.014579723791e-02      -1.015325811367e-02      -1.015360058554e-02       4.714972825291e-01       4.713901579034e-01 
       3.410563987115e-05      -1.399462719996e-02      -1.055488721733e-02      -1.055488998945e-02      -1.399282371332e-02      -1.056759008652e-02      -1.055510293854e-02      -1.054749558664e-02      -1.055525233093e-02      -1.055560773273e-02       4.714969629438e-01       4.713898707816e-01 
       3.476163833857e-05      -1.453498981812e-02      -1.096481816320e-02      -1.096482115471e-02      -1.453304385318e-02      -1.097783201399e-02      -1.096503032257e-02      -1.095713887098e-02      -1.096519737273e-02      -1.096556591094e-02       4.714966370553e-01       4.713895779909e-01 
       3.541787423791e-05      -1.508560489121e-02      -1.138271089984e-02      -1.138271412360e-02      -1.508350813213e-02      -1.139602774467e-02      -1.138291850933e-02      -1.137473831401e-02      -1.138310447258e-02      -1.138348635118e-02       4.714963048555e-01       4.713892795239e-01 
       3.607435215293e-05      -1.564647358181e-02      -1.180857688489e-02      -1.180858035425e-02      -1.564421739117e-02      -1.182218793542e-02      -1.180877890324e-02      -1.180030536271e-02      -1.180898508813e-02      -1.180938050852e-02       4.714959663366e-01       4.713889753730e-01 
       3.673107667285e-05      -1.621759706235e-02      -1.224242780067e-02      -1.224243152950e-02      -1.621517247474e-02      -1.225632345101e-02      -1.224262313235e-02      -1.223385168855e-02      -1.224285090174e-02      -1.224326006269e-02       4.714956214902e-01       4.713886655306e-01 
       3.738805239255e-05      -1.679897651443e-02      -1.268427555483e-02      -1.268427955751e-02      -1.679637422985e-02      -1.269844536468e-02      -1.268446304888e-02      -1.267538918811e-02      -1.268471382106e-02      -1.268513691867e-02       4.714952703081e-01       4.713883499886e-01 
       3.804528391261e-05      -1.739061312797e-02      -1.313413228094e-02      -1.313413657239e-02      -1.738782350535e-02      -1.314856495855e-02      -1.313431072983e-02      -1.312492998368e-02      -1.313458597969e-02      -1.313502320731e-02       4.714949127816e-01       4.713880287390e-01 
       3.870277583945e-05      -1.799250810049e-02      -1.359201033911e-02      -1.359201493480e-02      -1.798952115107e-02      -1.360669372420e-02      -1.359217847763e-02      -1.358248642386e-02      -1.359247973775e-02      -1.359293128596e-02       4.714945489021e-01       4.713877017738e-01 
       3.936053278543e-05      -1.860466263626e-02      -1.405792231664e-02      -1.405792723259e-02      -1.860146801703e-02      -1.407284336317e-02      -1.405807882072e-02      -1.404807108424e-02      -1.405840768256e-02      -1.405887373910e-02       4.714941786608e-01       4.713873690845e-01 
       4.001855936895e-05      -1.922707794549e-02      -1.453188102867e-02      -1.453188628145e-02      -1.922366495255e-02      -1.454702578748e-02      -1.453202451422e-02      -1.452169676802e-02      -1.453238262927e-02      -1.453286337896e-02       4.714938020486e-01       4.713870306627e-01 
       4.067686021457e-05      -1.985975524353e-02      -1.501389951880e-02      -1.501390512558e-02      -1.985611280540e-02      -1.502925312018e-02      -1.501402854058e-02      -1.500337650667e-02      -1.501441762151e-02      -1.501491324625e-02       4.714934190565e-01       4.713866864998e-01 
       4.133543995309e-05      -2.050269574999e-02      -1.550399105983e-02      -1.550399703835e-02      -2.049881242094e-02      -1.551953769591e-02      -1.550410411024e-02      -1.549312356061e-02      -1.550452593208e-02      -1.550503661074e-02       4.714930296751e-01       4.713863365869e-01 
       4.199430322172e-05      -2.115590068785e-02      -1.600216915438e-02      -1.600217552299e-02      -2.115176464117e-02      -1.601789206144e-02      -1.600226466230e-02      -1.599095141988e-02      -1.600272106364e-02      -1.600324697204e-02       4.714926338949e-01       4.713859809152e-01 
       4.265345466409e-05      -2.181937128265e-02      -1.650844753564e-02      -1.650845431329e-02      -2.181497030388e-02      -1.652432897624e-02      -1.650852386522e-02      -1.649687380484e-02      -1.650901674937e-02      -1.650955806020e-02       4.714922317062e-01       4.713856194755e-01 
       4.331289893047e-05      -2.249310876151e-02      -1.702284016803e-02      -1.702284737429e-02      -2.248843024165e-02      -1.703886141309e-02      -1.702289561750e-02      -1.701090466691e-02      -1.702342695372e-02      -1.702398383651e-02       4.714918230994e-01       4.713852522586e-01 
       4.397264067779e-05      -2.317711435226e-02      -1.754536124797e-02      -1.754536890304e-02      -2.317214528095e-02      -1.756150255862e-02      -1.754539404844e-02      -1.753305818923e-02      -1.754596587311e-02      -1.754653849415e-02       4.714914080644e-01       4.713848792552e-01 
       4.463268456980e-05      -2.387138928249e-02      -1.807602520457e-02      -1.807603332930e-02      -2.386611624113e-02      -1.809226581397e-02      -1.807603351878e-02      -1.806334878746e-02      -1.807664793668e-02      -1.807723645896e-02       4.714909865911e-01       4.713845004556e-01 
       4.529303527715e-05      -2.457593477862e-02      -1.861484670039e-02      -1.861485531630e-02      -2.457034393347e-02      -1.863116479533e-02      -1.861482862154e-02      -1.860179111045e-02      -1.861548780700e-02      -1.861609239018e-02       4.714905586693e-01       4.713841158503e-01 
       4.595369747752e-05      -2.529075206488e-02      -1.916184063224e-02      -1.916184976148e-02      -2.528482916016e-02      -1.917821333462e-02      -1.916179418267e-02      -1.914840004109e-02      -1.916250038088e-02      -1.916312118121e-02       4.714901242885e-01       4.713837254293e-01 
       4.661467585572e-05      -2.601584236240e-02      -1.971702213187e-02      -1.971703179729e-02      -2.600957271327e-02      -1.973342548010e-02      -1.971694526189e-02      -1.970319069698e-02      -1.971770079010e-02      -1.971833796036e-02       4.714896834380e-01       4.713833291827e-01 
       4.727597510379e-05      -2.675120688814e-02      -2.028040656684e-02      -2.028041679196e-02      -2.674457537373e-02      -2.029681549697e-02      -2.028029715341e-02      -2.026617843128e-02      -2.028110440221e-02      -2.028175809166e-02       4.714892361072e-01       4.713829271003e-01 
       4.793759992114e-05      -2.749684685390e-02      -2.085200954124e-02      -2.085202035030e-02      -2.748983791025e-02      -2.086839786810e-02      -2.085186538676e-02      -2.083737883351e-02      -2.085272682132e-02      -2.085339717564e-02       4.714887822851e-01       4.713825191718e-01 
       4.859955501462e-05      -2.825276346528e-02      -2.143184689655e-02      -2.143185831450e-02      -2.824536107826e-02      -2.144818729459e-02      -2.143166572754e-02      -2.141680773030e-02      -2.143258388892e-02      -2.143327105017e-02       4.714883219607e-01       4.713821053867e-01 
       4.926184509868e-05      -2.901895792064e-02      -2.201993471246e-02      -2.201994676497e-02      -2.901114561882e-02      -2.203619869655e-02      -2.201971417829e-02      -2.200448118626e-02      -2.202069168471e-02      -2.202139579121e-02       4.714878551225e-01       4.713816857344e-01 
       4.992447489542e-05      -2.979543140997e-02      -2.261628930767e-02      -2.261630202114e-02      -2.978719225747e-02      -2.263244721367e-02      -2.261602697925e-02      -2.260041550481e-02      -2.261706652739e-02      -2.261778771372e-02       4.714873817594e-01       4.713812602042e-01 
       5.058744913477e-05      -3.058218511386e-02      -2.322092724078e-02      -2.322094064236e-02      -3.057350170314e-02      -2.323694820599e-02      -2.322062060926e-02      -2.320462722900e-02      -2.322172497556e-02      -2.322246337248e-02       4.714869018595e-01       4.713808287850e-01 
       5.125077255453e-05      -3.137922020237e-02      -2.383386531110e-02      -2.383387942872e-02      -3.137007464699e-02      -2.384971725458e-02      -2.383351178654e-02      -2.381713314239e-02      -2.383468382855e-02      -2.383543956293e-02       4.714864154113e-01       4.713803914659e-01 
       5.191444990055e-05      -3.218653783388e-02      -2.445512055958e-02      -2.445513542192e-02      -3.217691176122e-02      -2.447077016222e-02      -2.445471746964e-02      -2.443795026994e-02      -2.445596012731e-02      -2.445673332208e-02       4.714859224027e-01       4.713799482356e-01 
       5.257848592679e-05      -3.300413915397e-02      -2.508471026966e-02      -2.508472590620e-02      -3.299401369791e-02      -2.510012295417e-02      -2.508425485822e-02      -2.506709587884e-02      -2.508557115528e-02      -2.508636192936e-02       4.714854228217e-01       4.713794990826e-01 
       5.324288539546e-05      -3.383202529424e-02      -2.572265196820e-02      -2.572266840920e-02      -3.382138108776e-02      -2.573779187886e-02      -2.572214139401e-02      -2.570458747946e-02      -2.572353443931e-02      -2.572434290754e-02       4.714849166560e-01       4.713790439954e-01 
       5.390765307712e-05      -3.467019737110e-02      -2.636896342633e-02      -2.636898070288e-02      -3.465901453893e-02      -2.638379340865e-02      -2.636839476169e-02      -2.635044282625e-02      -2.636986775055e-02      -2.637069402365e-02       4.714844038933e-01       4.713785829622e-01 
       5.457279375081e-05      -3.551865648463e-02      -2.702366266047e-02      -2.702368080447e-02      -3.550691463575e-02      -2.703814424058e-02      -2.702303288979e-02      -2.700467991865e-02      -2.702458910540e-02      -2.702543328989e-02       4.714838845209e-01       4.713781159713e-01 
       5.523831220414e-05      -3.637740371729e-02      -2.768676793318e-02      -2.768678697738e-02      -3.636508193744e-02      -2.770086129715e-02      -2.768607395162e-02      -2.766731700204e-02      -2.768771676644e-02      -2.768857896456e-02       4.714833585260e-01       4.713776430104e-01 
       5.590421323341e-05      -3.724644013272e-02      -2.835829775418e-02      -2.835831773216e-02      -3.723351697686e-02      -2.837196172706e-02      -2.835753636625e-02      -2.833837256870e-02      -2.835926924336e-02      -2.836014955305e-02       4.714828258958e-01       4.713771640676e-01 
       5.657050164375e-05      -3.812576677444e-02      -2.903827088128e-02      -2.903829182749e-02      -3.811222025919e-02      -2.905146290601e-02      -2.903743879941e-02      -2.901786535876e-02      -2.903926529398e-02      -2.904016380878e-02       4.714822866172e-01       4.713766791302e-01 
       5.723718224920e-05      -3.901538466462e-02      -2.972670632137e-02      -2.972672827114e-02      -3.900119226057e-02      -2.973938243752e-02      -2.972580016447e-02      -2.970581436118e-02      -2.972772392518e-02      -2.972864073416e-02       4.714817406768e-01       4.713761881860e-01 
       5.790425987282e-05      -3.991529480270e-02      -3.042362333142e-02      -3.042364632096e-02      -3.990043342680e-02      -3.043573815370e-02      -3.042263962347e-02      -3.040223881475e-02      -3.042466439391e-02      -3.042559958163e-02       4.714811880613e-01       4.713756912220e-01 
       5.857173934686e-05      -4.082549816415e-02      -3.112904141948e-02      -3.112906548590e-02      -4.080994417192e-02      -3.114054811605e-02      -3.112797658805e-02      -3.110715820912e-02      -3.113010620822e-02      -3.113105985465e-02       4.714806287570e-01       4.713751882256e-01 
       5.923962551282e-05      -4.174599569906e-02      -3.184298034569e-02      -3.184300552704e-02      -4.172972487686e-02      -3.185383061637e-02      -3.184183072048e-02      -3.182059228574e-02      -3.184406912825e-02      -3.184504130869e-02       4.714800627501e-01       4.713746791836e-01 
       5.990792322157e-05      -4.267678833083e-02      -3.256546012337e-02      -3.256548645859e-02      -4.265977588800e-02      -3.257560417750e-02      -3.256422193470e-02      -3.254256103902e-02      -3.256657316727e-02      -3.256756395231e-02       4.714794900268e-01       4.713741640829e-01 
       6.057663733350e-05      -4.361787695474e-02      -3.329650101998e-02      -3.329652854899e-02      -4.360009751577e-02      -3.330588755424e-02      -3.329517039735e-02      -3.327308471724e-02      -3.329763859276e-02      -3.329864804819e-02       4.714789105728e-01       4.713736429101e-01 
       6.124577271860e-05      -4.456926243657e-02      -3.403612355827e-02      -3.403615232191e-02      -4.455069003314e-02      -3.404469973416e-02      -3.403469652880e-02      -3.401218382372e-02      -3.403728592743e-02      -3.403831411418e-02       4.714783243738e-01       4.713731156518e-01 
       6.191533425661e-05      -4.553094561116e-02      -3.478434851731e-02      -3.478437855741e-02      -4.551155367420e-02      -3.479205993852e-02      -3.478282100422e-02      -3.475987911785e-02      -3.478553595034e-02      -3.478658292439e-02       4.714777314155e-01       4.713725822942e-01 
       6.258532683710e-05      -4.650292728098e-02      -3.554119693358e-02      -3.554122829296e-02      -4.648268863263e-02      -3.554798762310e-02      -3.553956475468e-02      -3.551619161617e-02      -3.554240969794e-02      -3.554347551030e-02       4.714771316831e-01       4.713720428235e-01 
       6.325575535962e-05      -4.748520821465e-02      -3.630669010211e-02      -3.630672282457e-02      -4.746409506019e-02      -3.631250247914e-02      -3.630494896821e-02      -3.628114259352e-02      -3.630792846523e-02      -3.630901316182e-02       4.714765251619e-01       4.713714972257e-01 
       6.392662473380e-05      -4.847778914542e-02      -3.708084957756e-02      -3.708088370792e-02      -4.845577306515e-02      -3.708562443421e-02      -3.707899509093e-02      -3.705475358409e-02      -3.708211380686e-02      -3.708321742845e-02       4.714759118367e-01       4.713709454866e-01 
